Installment,Region,Channel,Platform,GameType,ReserveType,ReleaseYear,ReleaseMonth,RelativeWeek,Version,FinalPrice,ReservesLevel
RPG L,USA,Retail,XBOX,NonCasual,PreOrder,2009,10,3,2,19.98999969,15742
RPG L,USA,Retail,XBOX,NonCasual,PreOrder,2009,10,6,2,19.98999969,12803
RPG L,USA,Retail,XBOX,NonCasual,PreOrder,2009,10,8,2,19.98999969,13507
RPG L,USA,Retail,XBOX,NonCasual,PreOrder,2009,10,10,2,19.98999969,10712
RPG L,USA,Retail,XBOX,NonCasual,PreOrder,2009,10,12,2,19.98999969,10803
RPG L,USA,Retail,XBOX,NonCasual,PreOrder,2009,10,14,2,19.98999969,9418
RPG L,USA,Retail,XBOX,NonCasual,PreOrder,2009,10,16,2,19.98999969,7874
RPG L,USA,Retail,XBOX,NonCasual,PreOrder,2009,10,17,2,19.98999969,876
RPG L,USA,Retail,XBOX,NonCasual,PreOrder,2009,10,19,2,19.98999969,702
RPG L,USA,Retail,XBOX,NonCasual,PreOrder,2009,10,21,2,19.98999969,295
RPG 3,BRA,Digital,PC,NonCasual,PrePurchase,2009,11,1,1,48.96785736,669
RPG 3,BRA,Digital,PC,NonCasual,PrePurchase,2009,11,2,1,48.96785736,322
RPG 3,BRA,Digital,PS,NonCasual,PrePurchase,2009,10,0,1,39.19048992,202
RPG 3,BRA,Digital,PS,NonCasual,PrePurchase,2009,10,1,1,39.19048992,202
RPG 3,BRA,Digital,PS,NonCasual,PrePurchase,2009,10,2,1,39.19048992,147
RPG 3,BRA,Digital,PS,NonCasual,PrePurchase,2009,11,0,1,39.19048992,673
RPG 3,BRA,Digital,PS,NonCasual,PrePurchase,2009,11,1,1,39.19048992,673
RPG 3,BRA,Digital,XBOX,NonCasual,PrePurchase,2009,10,3,1,22.06234054,98
RPG 3,BRA,Digital,XBOX,NonCasual,PrePurchase,2009,10,4,1,22.06234054,32
RPG 3,BRA,Digital,XBOX,NonCasual,PrePurchase,2009,11,0,1,22.06234054,669
RPG 3,BRA,Digital,XBOX,NonCasual,PrePurchase,2009,11,2,1,22.06234054,281
RPG 3,BRA,Retail,Nintendo,NonCasual,PreOrder,2009,10,1,1,48.96785736,1380
RPG 3,BRA,Retail,PC,NonCasual,PreOrder,2009,10,1,1,48.96785736,1758
RPG 3,BRA,Retail,PS,NonCasual,PreOrder,2009,10,0,1,39.19048992,10544
RPG 3,BRA,Retail,PS,NonCasual,PreOrder,2009,10,1,1,39.19048992,2299
RPG 3,BRA,Retail,XBOX,NonCasual,PreOrder,2009,10,0,1,22.06234054,291
RPG 3,BRA,Retail,XBOX,NonCasual,PreOrder,2009,10,1,1,22.06234054,5847
RPG 3,CAN,Digital,PC,NonCasual,PrePurchase,2009,10,2,1,48.96785736,96
RPG 3,CAN,Digital,PC,NonCasual,PrePurchase,2009,10,3,1,48.96785736,62
RPG 3,CAN,Digital,PC,NonCasual,PrePurchase,2009,11,0,1,48.96785736,1164
RPG 3,CAN,Digital,PC,NonCasual,PrePurchase,2009,11,1,1,48.96785736,2236
RPG 3,CAN,Digital,PC,NonCasual,PrePurchase,2009,11,2,1,48.96785736,593
RPG 3,CAN,Digital,PS,NonCasual,PrePurchase,2009,10,0,1,39.19048992,779
RPG 3,CAN,Digital,PS,NonCasual,PrePurchase,2009,10,1,1,39.19048992,779
