Installment,Region,Channel,Edition,Platform,ReleaseYear,ReleaseMonth,RelativeWeek,GameType,ReservesLevel
RPG E,USA,Retail,Standard,XBOX ONE,2013,11,4,NonCasual,2518
RPG E,USA,Retail,Standard,XBOX ONE,2013,11,5,NonCasual,2122
RPG E,USA,Retail,Standard,XBOX ONE,2013,11,6,NonCasual,1844
RPG E,USA,Retail,Standard,XBOX ONE,2013,11,7,NonCasual,1543
RPG E,USA,Retail,Standard,XBOX ONE,2013,11,8,NonCasual,1203
RPG E,USA,Retail,Standard,XBOX ONE,2013,11,9,NonCasual,675
RPG E,CAN,Digital,Standard,PS4,2013,11,0,NonCasual,987
RPG E,CAN,Digital,Standard,PS4,2013,11,1,NonCasual,227
RPG E,CAN,Digital,Standard,PS4,2013,11,2,NonCasual,150
RPG E,CAN,Digital,Standard,PS4,2013,11,3,NonCasual,113
RPG E,CAN,Digital,Standard,PS4,2013,11,4,NonCasual,99
RPG E,CAN,Digital,Standard,PS4,2013,11,5,NonCasual,83
RPG E,CAN,Digital,Standard,PS4,2013,11,6,NonCasual,55
RPG E,CAN,Digital,Standard,PS4,2013,11,7,NonCasual,30
RPG E,CAN,Digital,Standard,PS4,2013,11,8,NonCasual,4
RPG E,CAN,Digital,Standard,PS4,2013,11,9,NonCasual,0
RPG E,CAN,Digital,Standard,PS4,2013,11,10,NonCasual,0
RPG E,CAN,Digital,Standard,PS4,2013,11,11,NonCasual,0
RPG E,CAN,Digital,Standard,XBOX ONE,2013,11,0,NonCasual,385
RPG E,CAN,Digital,Standard,XBOX ONE,2013,11,1,NonCasual,202
RPG E,CAN,Digital,Standard,XBOX ONE,2013,11,2,NonCasual,131
RPG E,CAN,Digital,Standard,XBOX ONE,2013,11,3,NonCasual,44
RPG E,CAN,Retail,Standard,PS4,2013,11,0,NonCasual,627
RPG E,CAN,Retail,Standard,PS4,2013,11,1,NonCasual,546
RPG E,CAN,Retail,Standard,PS4,2013,11,2,NonCasual,426
RPG E,CAN,Retail,Standard,PS4,2013,11,3,NonCasual,339
RPG E,CAN,Retail,Standard,PS4,2013,11,4,NonCasual,282
RPG E,CAN,Retail,Standard,PS4,2013,11,5,NonCasual,251
RPG E,CAN,Retail,Standard,PS4,2013,11,6,NonCasual,204
RPG E,CAN,Retail,Standard,PS4,2013,11,7,NonCasual,155
RPG E,CAN,Retail,Standard,PS4,2013,11,8,NonCasual,109
RPG E,CAN,Retail,Standard,PS4,2013,11,9,NonCasual,54
RPG E,CAN,Retail,Standard,XBOX ONE,2013,11,0,NonCasual,292
RPG E,CAN,Retail,Standard,XBOX ONE,2013,11,1,NonCasual,259
RPG E,CAN,Retail,Standard,XBOX ONE,2013,11,2,NonCasual,207
