Working,Edition,Sub-Edition,Week Age,Reserve Type,Grand Total,Distribution Channel,Territory,Sub Territory,Week Ending Date,Original Name,Title,Reserve Level,Original Retailer Name,Relative Week,Retailer,Comments,Released?,Title with Platform,Brand,Installment,Platform Type,Platform,Release Date,IPC Segment
Yes,Standard,Standard,-39,Pre-Order,Grand Total,Retail,USA,USA,6/17/17,RPG 123 SD 10/27150076,RPG 123 XBOX ONE,2988,GameStop,19,Gamestop,,Yes,RPG 123 XBOX ONE,RPG,RPG 123,New Gen,XBOX ONE,10/27/17,Game
Yes,Standard,Standard,-39,Pre-Order,Grand Total,Retail,USA,USA,6/17/17,RPG 123 SD 10/27150077,RPG 123 PS4,3749,GameStop,19,Gamestop,,Yes,RPG 123 PS4,RPG,RPG 123,New Gen,PS4,10/27/17,Game
Yes,Special,Deluxe,-39,Pre-Order,Grand Total,Retail,USA,USA,6/17/17,RPG 123 Dlx SD 10/27150078,RPG 123 DELUXE XBOX ONE,2065,GameStop,19,Gamestop,,Yes,RPG 123 XBOX ONE,RPG,RPG 123,New Gen,XBOX ONE,10/27/17,Game
Yes,Special,Deluxe,-39,Pre-Order,Grand Total,Retail,USA,USA,6/17/17,RPG 123 Dlx SD 10/27150079,RPG 123 DELUXE PS4,2829,GameStop,19,Gamestop,,Yes,RPG 123 PS4,RPG,RPG 123,New Gen,PS4,10/27/17,Game
Yes,Special,Gold,-39,Pre-Order,Grand Total,Retail,USA,USA,6/17/17,RPG 123 STEELBOOK GOLD EDITION PS4,RPG 123 GOLD PS4,338,Best Buy,19,Best Buy,,Yes,RPG 123 PS4,RPG,RPG 123,New Gen,PS4,10/27/17,Game
Yes,Special,Gold,-39,Pre-Order,Grand Total,Retail,USA,USA,6/17/17,RPG 123 STEELBOOK GOLD EDITION Xbox One,RPG 123 GOLD XBOX ONE,228,Best Buy,19,Best Buy,,Yes,RPG 123 XBOX ONE,RPG,RPG 123,New Gen,XBOX ONE,10/27/17,Game
Yes,Standard,Standard,-39,Pre-Order,Grand Total,Retail,USA,USA,6/17/17,RPG 123 PS4,RPG 123 PS4,222,Best Buy,19,Best Buy,,Yes,RPG 123 PS4,RPG,RPG 123,New Gen,PS4,10/27/17,Game
Yes,Standard,Standard,-39,Pre-Order,Grand Total,Retail,USA,USA,6/17/17,RPG 123 Xbox One,RPG 123 XBOX ONE,160,Best Buy,19,Best Buy,,Yes,RPG 123 XBOX ONE,RPG,RPG 123,New Gen,XBOX ONE,10/27/17,Game
Yes,Special,Deluxe,-39,Pre-Order,Grand Total,Retail,USA,USA,6/17/17,RPG 123 DELUXE EDITION Xbox One,RPG 123 DELUXE XBOX ONE,91,Best Buy,19,Best Buy,,Yes,RPG 123 XBOX ONE,RPG,RPG 123,New Gen,XBOX ONE,10/27/17,Game
Yes,Special,Deluxe,-39,Pre-Order,Grand Total,Retail,USA,USA,6/17/17,RPG 123 DELUXE EDITION PS4,RPG 123 DELUXE PS4,87,Best Buy,19,Best Buy,,Yes,RPG 123 PS4,RPG,RPG 123,New Gen,PS4,10/27/17,Game
Yes,Special,Collector,-39,Pre-Order,Grand Total,Retail,USA,USA,6/17/17,RPG 123 GODS Collector’s Edition – PlayStation 4,RPG 123 COLLECTOR EDITION PS4,2638,Amazon,19,Amazon,,Yes,RPG 123 PS4,RPG,RPG 123,New Gen,PS4,10/27/17,Game
Yes,Special,Collector,-39,Pre-Order,Grand Total,Retail,USA,USA,6/17/17,RPG 123 GODS Collector’s Edition - Xbox One,RPG 123 COLLECTOR EDITION XBOX ONE,1399,Amazon,19,Amazon,,Yes,RPG 123 XBOX ONE,RPG,RPG 123,New Gen,XBOX ONE,10/27/17,Game
Yes,Standard,Standard,-39,Pre-Order,Grand Total,Retail,USA,USA,6/17/17,RPG 123 - PlayStation 4,RPG 123 PS4,1423,Amazon,19,Amazon,,Yes,RPG 123 PS4,RPG,RPG 123,New Gen,PS4,10/27/17,Game
Yes,Standard,Standard,-39,Pre-Order,Grand Total,Retail,USA,USA,6/17/17,RPG 123 - Xbox One,RPG 123 XBOX ONE,875,Amazon,19,Amazon,,Yes,RPG 123 XBOX ONE,RPG,RPG 123,New Gen,XBOX ONE,10/27/17,Game
Yes,Special,Deluxe,-39,Pre-Order,Grand Total,Retail,USA,USA,6/17/17,RPG 123 Deluxe Edition - PlayStation 4,RPG 123 DELUXE PS4,1125,Amazon,19,Amazon,,Yes,RPG 123 PS4,RPG,RPG 123,New Gen,PS4,10/27/17,Game
Yes,Special,Deluxe,-39,Pre-Order,Grand Total,Retail,USA,USA,6/17/17,RPG 123 Deluxe Edition - Xbox One,RPG 123 DELUXE XBOX ONE,696,Amazon,19,Amazon,,Yes,RPG 123 XBOX ONE,RPG,RPG 123,New Gen,XBOX ONE,10/27/17,Game
Yes,Special,Gold,-39,Pre-Order,Grand Total,Retail,USA,USA,6/17/17,RPG 123 SteelBook Gold Edition - PlayStation 4,RPG 123 GOLD PS4,1856,Amazon,19,Amazon,,Yes,RPG 123 PS4,RPG,RPG 123,New Gen,PS4,10/27/17,Game
Yes,Special,Gold,-39,Pre-Order,Grand Total,Retail,USA,USA,6/17/17,RPG 123 SteelBook Gold Edition - Xbox One,RPG 123 GOLD XBOX ONE,1147,Amazon,19,Amazon,,Yes,RPG 123 XBOX ONE,RPG,RPG 123,New Gen,XBOX ONE,10/27/17,Game
Yes,Special,Gold,-39,Pre-Order,Grand Total,Retail,USA,USA,6/17/17,RPG 123 SteelBook Gold Edition - Xbox One,RPG 123 GOLD XBOX ONE,64,Target,19,Target,,Yes,RPG 123 XBOX ONE,RPG,RPG 123,New Gen,XBOX ONE,10/27/17,Game
Yes,Special,Gold,-39,Pre-Order,Grand Total,Retail,USA,USA,6/17/17,RPG 123 SteelBook Gold Edition - PlayStation 4,RPG 123 GOLD PS4,53,Target,19,Target,,Yes,RPG 123 PS4,RPG,RPG 123,New Gen,PS4,10/27/17,Game
Yes,Special,Deluxe,-39,Pre-Order,Grand Total,Retail,USA,USA,6/17/17,RPG 123 DELUXE XB1,RPG 123 DELUXE XBOX ONE,4,Target,19,Target,,Yes,RPG 123 XBOX ONE,RPG,RPG 123,New Gen,XBOX ONE,10/27/17,Game
Yes,Special,Deluxe,-39,Pre-Order,Grand Total,Retail,USA,USA,6/17/17,RPG 123 DELUXE PS4,RPG 123 DELUXE PS4,2,Target,19,Target,,Yes,RPG 123 PS4,RPG,RPG 123,New Gen,PS4,10/27/17,Game
Yes,Standard,Standard,-39,Pre-Order,Grand Total,Retail,USA,USA,6/17/17,RPG 123 XB1,RPG 123 XBOX ONE,2,Target,19,Target,,Yes,RPG 123 XBOX ONE,RPG,RPG 123,New Gen,XBOX ONE,10/27/17,Game
Yes,Standard,Standard,-39,Pre-Order,Grand Total,Retail,USA,USA,6/17/17,RPG 123 PS4,RPG 123 PS4,1,Target,19,Target,,Yes,RPG 123 PS4,RPG,RPG 123,New Gen,PS4,10/27/17,Game
Yes,Special,Gold,-39,Pre-Order,Grand Total,Retail,CAN,CAN,6/17/17,RPG 123 SteelBook Gold Edition - Xbox One,RPG 123 GOLD XBOX ONE,12,Videotron,19,Videotron,,Yes,RPG 123 XBOX ONE,RPG,RPG 123,New Gen,XBOX ONE,10/27/17,Game
Yes,Special,Gold,-39,Pre-Order,Grand Total,Retail,CAN,CAN,6/17/17,RPG 123 SteelBook Gold Edition - PlayStation 4,RPG 123 GOLD PS4,13,Videotron,19,Videotron,,Yes,RPG 123 PS4,RPG,RPG 123,New Gen,PS4,10/27/17,Game
Yes,Special,Deluxe,-39,Pre-Order,Grand Total,Retail,CAN,CAN,6/17/17,RPG 123 Deluxe Edition - Xbox One,RPG 123 DELUXE XBOX ONE,7,Videotron,19,Videotron,,Yes,RPG 123 XBOX ONE,RPG,RPG 123,New Gen,XBOX ONE,10/27/17,Game
Yes,Special,Deluxe,-39,Pre-Order,Grand Total,Retail,CAN,CAN,6/17/17,RPG 123 Deluxe Edition - PlayStation 4,RPG 123 DELUXE PS4,7,Videotron,19,Videotron,,Yes,RPG 123 PS4,RPG,RPG 123,New Gen,PS4,10/27/17,Game
Yes,Standard,Standard,-39,Pre-Order,Grand Total,Retail,CAN,CAN,6/17/17,RPG 123 - Xbox One,RPG 123 XBOX ONE,22,Videotron,19,Videotron,,Yes,RPG 123 XBOX ONE,RPG,RPG 123,New Gen,XBOX ONE,10/27/17,Game
Yes,Standard,Standard,-39,Pre-Order,Grand Total,Retail,CAN,CAN,6/17/17,RPG 123 - PlayStation 4,RPG 123 PS4,34,Videotron,19,Videotron,,Yes,RPG 123 PS4,RPG,RPG 123,New Gen,PS4,10/27/17,Game
Yes,Standard,Standard,-39,Pre-Order,Grand Total,Retail,CAN,CAN,6/17/17,RPG 123 - PlayStation 4,RPG 123 PS4,646,EB,19,EB Games,,Yes,RPG 123 PS4,RPG,RPG 123,New Gen,PS4,10/27/17,Game
Yes,Standard,Standard,-39,Pre-Order,Grand Total,Retail,CAN,CAN,6/17/17,RPG 123 - Xbox One,RPG 123 XBOX ONE,361,EB,19,EB Games,,Yes,RPG 123 XBOX ONE,RPG,RPG 123,New Gen,XBOX ONE,10/27/17,Game
Yes,Special,Gold,-39,Pre-Order,Grand Total,Retail,CAN,CAN,6/17/17,RPG 123 SteelBook Gold Edition - PlayStation 4,RPG 123 GOLD PS4,301,EB,19,EB Games,,Yes,RPG 123 PS4,RPG,RPG 123,New Gen,PS4,10/27/17,Game
Yes,Special,Gold,-39,Pre-Order,Grand Total,Retail,CAN,CAN,6/17/17,RPG 123 SteelBook Gold Edition - Xbox One,RPG 123 GOLD XBOX ONE,164,EB,19,EB Games,,Yes,RPG 123 XBOX ONE,RPG,RPG 123,New Gen,XBOX ONE,10/27/17,Game
Yes,Special,Deluxe,-39,Pre-Order,Grand Total,Retail,CAN,CAN,6/17/17,RPG 123 Deluxe Edition - PlayStation 4,RPG 123 DELUXE PS4,697,EB,19,EB Games,,Yes,RPG 123 PS4,RPG,RPG 123,New Gen,PS4,10/27/17,Game
Yes,Special,Deluxe,-39,Pre-Order,Grand Total,Retail,CAN,CAN,6/17/17,RPG 123 Deluxe Edition - Xbox One,RPG 123 DELUXE XBOX ONE,383,EB,19,EB Games,,Yes,RPG 123 XBOX ONE,RPG,RPG 123,New Gen,XBOX ONE,10/27/17,Game
Yes,Standard,Standard,-39,Pre-Order,Grand Total,Retail,CAN,CAN,6/17/17,RPG 123 - PlayStation 4,RPG 123 PS4,224,BBY,19,Best Buy Canada,,Yes,RPG 123 PS4,RPG,RPG 123,New Gen,PS4,10/27/17,Game
Yes,Standard,Standard,-39,Pre-Order,Grand Total,Retail,CAN,CAN,6/17/17,RPG 123 - Xbox One,RPG 123 XBOX ONE,130,BBY,19,Best Buy Canada,,Yes,RPG 123 XBOX ONE,RPG,RPG 123,New Gen,XBOX ONE,10/27/17,Game
Yes,Special,Gold,-39,Pre-Order,Grand Total,Retail,CAN,CAN,6/17/17,RPG 123 SteelBook Gold Edition - PlayStation 4,RPG 123 GOLD PS4,86,BBY,19,Best Buy Canada,,Yes,RPG 123 PS4,RPG,RPG 123,New Gen,PS4,10/27/17,Game
Yes,Special,Gold,-39,Pre-Order,Grand Total,Retail,CAN,CAN,6/17/17,RPG 123 SteelBook Gold Edition - Xbox One,RPG 123 GOLD XBOX ONE,63,BBY,19,Best Buy Canada,,Yes,RPG 123 XBOX ONE,RPG,RPG 123,New Gen,XBOX ONE,10/27/17,Game
Yes,Special,Deluxe,-39,Pre-Order,Grand Total,Retail,CAN,CAN,6/17/17,RPG 123 Deluxe Edition - PlayStation 4,RPG 123 DELUXE PS4,144,BBY,19,Best Buy Canada,,Yes,RPG 123 PS4,RPG,RPG 123,New Gen,PS4,10/27/17,Game
Yes,Special,Deluxe,-39,Pre-Order,Grand Total,Retail,CAN,CAN,6/17/17,RPG 123 Deluxe Edition - Xbox One,RPG 123 DELUXE XBOX ONE,74,BBY,19,Best Buy Canada,,Yes,RPG 123 XBOX ONE,RPG,RPG 123,New Gen,XBOX ONE,10/27/17,Game
Yes,Standard,Standard,-39,Pre-Order,Grand Total,Retail,CAN,CAN,6/17/17,RPG 123 - PlayStation 4,RPG 123 PS4,3392,AMZ,19,Amazon Canada,,Yes,RPG 123 PS4,RPG,RPG 123,New Gen,PS4,10/27/17,Game
Yes,Standard,Standard,-39,Pre-Order,Grand Total,Retail,CAN,CAN,6/17/17,RPG 123 - Xbox One,RPG 123 XBOX ONE,1268,AMZ,19,Amazon Canada,,Yes,RPG 123 XBOX ONE,RPG,RPG 123,New Gen,XBOX ONE,10/27/17,Game
Yes,Special,Gold,-39,Pre-Order,Grand Total,Retail,CAN,CAN,6/17/17,RPG 123 SteelBook Gold Edition - PlayStation 4,RPG 123 GOLD PS4,538,AMZ,19,Amazon Canada,,Yes,RPG 123 PS4,RPG,RPG 123,New Gen,PS4,10/27/17,Game
Yes,Special,Gold,-39,Pre-Order,Grand Total,Retail,CAN,CAN,6/17/17,RPG 123 SteelBook Gold Edition - Xbox One,RPG 123 GOLD XBOX ONE,288,AMZ,19,Amazon Canada,,Yes,RPG 123 XBOX ONE,RPG,RPG 123,New Gen,XBOX ONE,10/27/17,Game
Yes,Special,Deluxe,-39,Pre-Order,Grand Total,Retail,CAN,CAN,6/17/17,RPG 123 Deluxe Edition - PlayStation 4,RPG 123 DELUXE PS4,515,AMZ,19,Amazon Canada,,Yes,RPG 123 PS4,RPG,RPG 123,New Gen,PS4,10/27/17,Game
Yes,Special,Deluxe,-39,Pre-Order,Grand Total,Retail,CAN,CAN,6/17/17,RPG 123 Deluxe Edition - Xbox One,RPG 123 DELUXE XBOX ONE,284,AMZ,19,Amazon Canada,,Yes,RPG 123 XBOX ONE,RPG,RPG 123,New Gen,XBOX ONE,10/27/17,Game
Yes,Special,Collector,-39,Pre-Order,Grand Total,Retail,CAN,CAN,6/17/17,RPG 123 GODS Collector’s Edition - Xbox One,RPG 123 COLLECTOR EDITION XBOX ONE,84,AMZ,19,Amazon Canada,,Yes,RPG 123 XBOX ONE,RPG,RPG 123,New Gen,XBOX ONE,10/27/17,Game
Yes,Special,Collector,-39,Pre-Order,Grand Total,Retail,CAN,CAN,6/17/17,RPG 123 GODS Collector’s Edition – PlayStation 4,RPG 123 COLLECTOR EDITION PS4,227,AMZ,19,Amazon Canada,,Yes,RPG 123 PS4,RPG,RPG 123,New Gen,PS4,10/27/17,Game
Yes,Special,Gold,-39,Pre-Order,Grand Total,Digital,LATAM,BRA,6/17/17,RPG 123 GOLD XBOX ONE,RPG 123 GOLD XBOX ONE,79,MICROSOFT,19,MICROSOFT,,Yes,RPG 123 XBOX ONE,RPG,RPG 123,New Gen,XBOX ONE,10/27/17,Game
Yes,Standard,Standard,-39,Pre-Purchase,Grand Total,Digital,LATAM,BRA,6/17/17,RPG 123 PC,RPG 123 PC,17,STEAM,19,STEAM,,Yes,RPG 123 PC,RPG,RPG 123,PC,PC,10/27/17,Game
Yes,Standard,Standard,-39,Pre-Purchase,Grand Total,Digital,LATAM,BRA,6/17/17,RPG 123 PC,RPG 123 PC,2,UBISOFT,19,UBISOFT,,Yes,RPG 123 PC,RPG,RPG 123,PC,PC,10/27/17,Game
Yes,Special,Gold,-39,Pre-Purchase,Grand Total,Digital,LATAM,BRA,6/17/17,RPG 123 GOLD PC,RPG 123 GOLD PC,50,STEAM,19,STEAM,,Yes,RPG 123 PC,RPG,RPG 123,PC,PC,10/27/17,Game
Yes,Special,Gold,-39,Pre-Purchase,Grand Total,Digital,LATAM,BRA,6/17/17,RPG 123 GOLD PC,RPG 123 GOLD PC,19,UBISOFT,19,UBISOFT,,Yes,RPG 123 PC,RPG,RPG 123,PC,PC,10/27/17,Game
Yes,Special,Deluxe,-39,Pre-Purchase,Grand Total,Digital,LATAM,BRA,6/17/17,RPG 123 DELUXE EDITION PC,RPG 123 DELUXE PC,1,STEAM,19,STEAM,,Yes,RPG 123 PC,RPG,RPG 123,PC,PC,10/27/17,Game
Yes,Special,Deluxe,-39,Pre-Purchase,Grand Total,Digital,LATAM,BRA,6/17/17,RPG 123 DELUXE EDITION PC,RPG 123 DELUXE PC,0,UBISOFT,19,UBISOFT,,Yes,RPG 123 PC,RPG,RPG 123,PC,PC,10/27/17,Game
Yes,Special,Gold,-39,Pre-Purchase,Grand Total,Digital,LATAM,BRA,6/17/17,RPG 123 GOLD PS4,RPG 123 GOLD PS4,21,SONY,19,SONY,,Yes,RPG 123 PS4,RPG,RPG 123,New Gen,PS4,10/27/17,Game
Yes,Standard,Standard,-39,Pre-Purchase,Grand Total,Digital,LATAM,BRA,6/17/17,RPG 123 PS4,RPG 123 PS4,46,SONY,19,SONY,,Yes,RPG 123 PS4,RPG,RPG 123,New Gen,PS4,10/27/17,Game
Yes,Standard,Standard,-39,Pre-Order,Grand Total,Digital,LATAM,BRA,6/17/17,RPG 123 XBOX ONE,RPG 123 XBOX ONE,57,MICROSOFT,19,MICROSOFT,,Yes,RPG 123 XBOX ONE,RPG,RPG 123,New Gen,XBOX ONE,10/27/17,Game
Yes,Special,Deluxe,-39,Pre-Order,Grand Total,Digital,LATAM,BRA,6/17/17,RPG 123 DELUXE EDITION XBOX ONE,RPG 123 DELUXE XBOX ONE,17,MICROSOFT,19,MICROSOFT,,Yes,RPG 123 XBOX ONE,RPG,RPG 123,New Gen,XBOX ONE,10/27/17,Game
Yes,Special,Deluxe,-39,Pre-Purchase,Grand Total,Digital,LATAM,BRA,6/17/17,RPG 123 DELUXE EDITION PS4,RPG 123 DELUXE PS4,4,SONY,19,SONY,,Yes,RPG 123 PS4,RPG,RPG 123,New Gen,PS4,10/27/17,Game
Yes,Special,Gold,-39,Pre-Order,Grand Total,Digital,CAN,CAN,6/17/17,RPG 123 GOLD XBOX ONE,RPG 123 GOLD XBOX ONE,234,MICROSOFT,19,MICROSOFT,,Yes,RPG 123 XBOX ONE,RPG,RPG 123,New Gen,XBOX ONE,10/27/17,Game
Yes,Standard,Standard,-39,Pre-Purchase,Grand Total,Digital,CAN,CAN,6/17/17,RPG 123 PC,RPG 123 PC,31,STEAM,19,STEAM,,Yes,RPG 123 PC,RPG,RPG 123,PC,PC,10/27/17,Game
Yes,Standard,Standard,-39,Pre-Purchase,Grand Total,Digital,CAN,CAN,6/17/17,RPG 123 PC,RPG 123 PC,11,UBISOFT,19,UBISOFT,,Yes,RPG 123 PC,RPG,RPG 123,PC,PC,10/27/17,Game
Yes,Special,Gold,-39,Pre-Purchase,Grand Total,Digital,CAN,CAN,6/17/17,RPG 123 GOLD PC,RPG 123 GOLD PC,65,STEAM,19,STEAM,,Yes,RPG 123 PC,RPG,RPG 123,PC,PC,10/27/17,Game
Yes,Special,Gold,-39,Pre-Purchase,Grand Total,Digital,CAN,CAN,6/17/17,RPG 123 GOLD PC,RPG 123 GOLD PC,25,UBISOFT,19,UBISOFT,,Yes,RPG 123 PC,RPG,RPG 123,PC,PC,10/27/17,Game
Yes,Special,Deluxe,-39,Pre-Purchase,Grand Total,Digital,CAN,CAN,6/17/17,RPG 123 DELUXE EDITION PC,RPG 123 DELUXE PC,26,STEAM,19,STEAM,,Yes,RPG 123 PC,RPG,RPG 123,PC,PC,10/27/17,Game
Yes,Special,Deluxe,-39,Pre-Purchase,Grand Total,Digital,CAN,CAN,6/17/17,RPG 123 DELUXE EDITION PC,RPG 123 DELUXE PC,8,UBISOFT,19,UBISOFT,,Yes,RPG 123 PC,RPG,RPG 123,PC,PC,10/27/17,Game
Yes,Special,Gold,-39,Pre-Purchase,Grand Total,Digital,CAN,CAN,6/17/17,RPG 123 GOLD PS4,RPG 123 GOLD PS4,132,SONY,19,SONY,,Yes,RPG 123 PS4,RPG,RPG 123,New Gen,PS4,10/27/17,Game
Yes,Standard,Standard,-39,Pre-Order,Grand Total,Digital,CAN,CAN,6/17/17,RPG 123 XBOX ONE,RPG 123 XBOX ONE,79,MICROSOFT,19,MICROSOFT,,Yes,RPG 123 XBOX ONE,RPG,RPG 123,New Gen,XBOX ONE,10/27/17,Game
Yes,Special,Deluxe,-39,Pre-Order,Grand Total,Digital,CAN,CAN,6/17/17,RPG 123 DELUXE EDITION XBOX ONE,RPG 123 DELUXE XBOX ONE,87,MICROSOFT,19,MICROSOFT,,Yes,RPG 123 XBOX ONE,RPG,RPG 123,New Gen,XBOX ONE,10/27/17,Game
Yes,Special,Deluxe,-39,Pre-Purchase,Grand Total,Digital,CAN,CAN,6/17/17,RPG 123 DELUXE EDITION PS4,RPG 123 DELUXE PS4,29,SONY,19,SONY,,Yes,RPG 123 PS4,RPG,RPG 123,New Gen,PS4,10/27/17,Game
Yes,Special,Gold,-39,Pre-Order,Grand Total,Digital,LATAM,ROSA,6/17/17,RPG 123 GOLD XBOX ONE,RPG 123 GOLD XBOX ONE,32,MICROSOFT,19,MICROSOFT,,Yes,RPG 123 XBOX ONE,RPG,RPG 123,New Gen,XBOX ONE,10/27/17,Game
Yes,Standard,Standard,-39,Pre-Purchase,Grand Total,Digital,LATAM,ROSA,6/17/17,RPG 123 PC,RPG 123 PC,14,STEAM,19,STEAM,,Yes,RPG 123 PC,RPG,RPG 123,PC,PC,10/27/17,Game
Yes,Standard,Standard,-39,Pre-Purchase,Grand Total,Digital,LATAM,ROSA,6/17/17,RPG 123 PC,RPG 123 PC,2,UBISOFT,19,UBISOFT,,Yes,RPG 123 PC,RPG,RPG 123,PC,PC,10/27/17,Game
Yes,Special,Gold,-39,Pre-Purchase,Grand Total,Digital,LATAM,ROSA,6/17/17,RPG 123 GOLD PC,RPG 123 GOLD PC,20,STEAM,19,STEAM,,Yes,RPG 123 PC,RPG,RPG 123,PC,PC,10/27/17,Game
Yes,Special,Gold,-39,Pre-Purchase,Grand Total,Digital,LATAM,ROSA,6/17/17,RPG 123 GOLD PC,RPG 123 GOLD PC,9,UBISOFT,19,UBISOFT,,Yes,RPG 123 PC,RPG,RPG 123,PC,PC,10/27/17,Game
Yes,Special,Deluxe,-39,Pre-Purchase,Grand Total,Digital,LATAM,ROSA,6/17/17,RPG 123 DELUXE EDITION PC,RPG 123 DELUXE PC,2,STEAM,19,STEAM,,Yes,RPG 123 PC,RPG,RPG 123,PC,PC,10/27/17,Game
Yes,Special,Deluxe,-39,Pre-Purchase,Grand Total,Digital,LATAM,ROSA,6/17/17,RPG 123 DELUXE EDITION PC,RPG 123 DELUXE PC,3,UBISOFT,19,UBISOFT,,Yes,RPG 123 PC,RPG,RPG 123,PC,PC,10/27/17,Game
Yes,Special,Gold,-39,Pre-Purchase,Grand Total,Digital,LATAM,ROSA,6/17/17,RPG 123 GOLD PS4,RPG 123 GOLD PS4,21,SONY,19,SONY,,Yes,RPG 123 PS4,RPG,RPG 123,New Gen,PS4,10/27/17,Game
Yes,Standard,Standard,-39,Pre-Purchase,Grand Total,Digital,LATAM,ROSA,6/17/17,RPG 123 PS4,RPG 123 PS4,19,SONY,19,SONY,,Yes,RPG 123 PS4,RPG,RPG 123,New Gen,PS4,10/27/17,Game
Yes,Standard,Standard,-39,Pre-Order,Grand Total,Digital,LATAM,ROSA,6/17/17,RPG 123 XBOX ONE,RPG 123 XBOX ONE,11,MICROSOFT,19,MICROSOFT,,Yes,RPG 123 XBOX ONE,RPG,RPG 123,New Gen,XBOX ONE,10/27/17,Game
Yes,Special,Deluxe,-39,Pre-Order,Grand Total,Digital,LATAM,ROSA,6/17/17,RPG 123 DELUXE EDITION XBOX ONE,RPG 123 DELUXE XBOX ONE,10,MICROSOFT,19,MICROSOFT,,Yes,RPG 123 XBOX ONE,RPG,RPG 123,New Gen,XBOX ONE,10/27/17,Game
Yes,Special,Deluxe,-39,Pre-Purchase,Grand Total,Digital,LATAM,ROSA,6/17/17,RPG 123 DELUXE EDITION PS4,RPG 123 DELUXE PS4,2,SONY,19,SONY,,Yes,RPG 123 PS4,RPG,RPG 123,New Gen,PS4,10/27/17,Game
Yes,Special,Gold,-39,Pre-Order,Grand Total,Digital,USA,USA,6/17/17,RPG 123 GOLD XBOX ONE,RPG 123 GOLD XBOX ONE,2749,MICROSOFT,19,MICROSOFT,,Yes,RPG 123 XBOX ONE,RPG,RPG 123,New Gen,XBOX ONE,10/27/17,Game
Yes,Standard,Standard,-39,Pre-Purchase,Grand Total,Digital,USA,USA,6/17/17,RPG 123 PC,RPG 123 PC,132,STEAM,19,STEAM,,Yes,RPG 123 PC,RPG,RPG 123,PC,PC,10/27/17,Game
Yes,Standard,Standard,-39,Pre-Purchase,Grand Total,Digital,USA,USA,6/17/17,RPG 123 PC,RPG 123 PC,48,UBISOFT,19,UBISOFT,,Yes,RPG 123 PC,RPG,RPG 123,PC,PC,10/27/17,Game
Yes,Special,Gold,-39,Pre-Purchase,Grand Total,Digital,USA,USA,6/17/17,RPG 123 GOLD PC,RPG 123 GOLD PC,235,STEAM,19,STEAM,,Yes,RPG 123 PC,RPG,RPG 123,PC,PC,10/27/17,Game
Yes,Special,Gold,-39,Pre-Purchase,Grand Total,Digital,USA,USA,6/17/17,RPG 123 GOLD PC,RPG 123 GOLD PC,123,UBISOFT,19,UBISOFT,,Yes,RPG 123 PC,RPG,RPG 123,PC,PC,10/27/17,Game
Yes,Special,Deluxe,-39,Pre-Purchase,Grand Total,Digital,USA,USA,6/17/17,RPG 123 DELUXE EDITION PC,RPG 123 DELUXE PC,125,STEAM,19,STEAM,,Yes,RPG 123 PC,RPG,RPG 123,PC,PC,10/27/17,Game
Yes,Special,Deluxe,-39,Pre-Purchase,Grand Total,Digital,USA,USA,6/17/17,RPG 123 DELUXE EDITION PC,RPG 123 DELUXE PC,41,UBISOFT,19,UBISOFT,,Yes,RPG 123 PC,RPG,RPG 123,PC,PC,10/27/17,Game
Yes,Special,Gold,-39,Pre-Purchase,Grand Total,Digital,USA,USA,6/17/17,RPG 123 GOLD PS4,RPG 123 GOLD PS4,476,SONY,19,SONY,,Yes,RPG 123 PS4,RPG,RPG 123,New Gen,PS4,10/27/17,Game
Yes,Standard,Standard,-39,Pre-Purchase,Grand Total,Digital,USA,USA,6/17/17,RPG 123 PS4,RPG 123 PS4,482,SONY,19,SONY,,Yes,RPG 123 PS4,RPG,RPG 123,New Gen,PS4,10/27/17,Game
Yes,Standard,Standard,-39,Pre-Order,Grand Total,Digital,USA,USA,6/17/17,RPG 123 XBOX ONE,RPG 123 XBOX ONE,979,MICROSOFT,19,MICROSOFT,,Yes,RPG 123 XBOX ONE,RPG,RPG 123,New Gen,XBOX ONE,10/27/17,Game
Yes,Special,Deluxe,-39,Pre-Order,Grand Total,Digital,USA,USA,6/17/17,RPG 123 DELUXE EDITION XBOX ONE,RPG 123 DELUXE XBOX ONE,785,MICROSOFT,19,MICROSOFT,,Yes,RPG 123 XBOX ONE,RPG,RPG 123,New Gen,XBOX ONE,10/27/17,Game
Yes,Special,Deluxe,-39,Pre-Purchase,Grand Total,Digital,USA,USA,6/17/17,RPG 123 DELUXE EDITION PS4,RPG 123 DELUXE PS4,184,SONY,19,SONY,,Yes,RPG 123 PS4,RPG,RPG 123,New Gen,PS4,10/27/17,Game
Yes,Special,Gold,-39,Pre-Order,Grand Total,Digital,LATAM,MEX,6/17/17,RPG 123 GOLD XBOX ONE,RPG 123 GOLD XBOX ONE,74,MICROSOFT,19,MICROSOFT,,Yes,RPG 123 XBOX ONE,RPG,RPG 123,New Gen,XBOX ONE,10/27/17,Game
Yes,Standard,Standard,-39,Pre-Purchase,Grand Total,Digital,LATAM,MEX,6/17/17,RPG 123 PC,RPG 123 PC,3,STEAM,19,STEAM,,Yes,RPG 123 PC,RPG,RPG 123,PC,PC,10/27/17,Game
